tick,scenario_type,precipitation,fog,sun_altitude,dist_gt,dist_lidar,dist_stereo,dist_camera,dist_ai,dist_hsi,w_lidar,w_stereo,w_camera,w_ai,w_hsi,d_fusion,v_approach,v_app_clamped,mu_factor,risk_numerator,risk_denominator,risk_score
1,D,20,30,-32.362896753575534,40.0,39.96659254931191,39.66005161234482,40.125919287894384,40.15885766381996,39.88168188750011,0.2954545454545454,0.1772727272727272,0.1181818181818181,0.3181818181818181,0.0909090909090909,39.984536837678974,6.900504982390906,6.900504982390906,1.5,103.50757473586359,1598.7731861237069,0.06474187560452029
2,D,20,30,-32.362896753575534,39.6010101010101,39.607223318936136,39.22736138191968,41.387788650738855,39.37176685660952,39.47027356675559,0.2954545454545454,0.1772727272727272,0.1181818181818181,0.3181818181818181,0.0909090909090909,39.66294666292138,13.555985290801358,13.555985290801358,1.5,203.33977936202038,1573.159337985746,0.12925567960736523
3,D,20,30,-32.362896753575534,39.2020202020202,39.154934009524304,39.15116178811009,38.37021781978468,39.40336693055151,39.15686633459944,0.2954545454545454,0.1772727272727272,0.1181818181818181,0.3181818181818181,0.0909090909090909,39.14074861591076,10.050732714008667,10.050732714008667,1.5,150.76099071013002,1532.00820221392,0.09840743051653629
4,D,20,30,-32.362896753575534,38.80303030303031,38.726916067822586,38.55186560577639,39.49365781161312,38.736640438946985,38.80014939468028,0.2954545454545454,0.1772727272727272,0.1181818181818181,0.3181818181818181,0.0909090909090909,38.79625102161627,11.510896024804971,11.510896024804971,1.5,172.66344037207458,1505.1590933322616,0.1147144120093087
5,D,20,30,-32.362896753575534,38.4040404040404,38.5074191424189,37.66003034958038,40.0499887450331,38.669367410913,38.25497578608784,0.2954545454545454,0.1772727272727272,0.1181818181818181,0.3181818181818181,0.0909090909090909,38.56808349885176,5.157500203140702,5.157500203140702,1.5,77.36250304711054,1487.5070647744017,0.052008158400809676
6,D,20,30,-32.362896753575534,38.005050505050505,37.85690707939185,37.901460241017126,38.81024328281947,37.86919304190998,37.94189314874898,0.2954545454545454,0.1772727272727272,0.1181818181818181,0.3181818181818181,0.0909090909090909,37.98910732191873,9.258098700852994,9.258098700852994,1.5,138.8714805127949,1443.1822751162592,0.09622587729024579
7,D,20,30,-32.362896753575534,37.60606060606061,37.62982993657745,37.55163603510422,39.17951634201903,37.82317674740312,37.54431887479542,0.2954545454545454,0.1772727272727272,0.1181818181818181,0.3181818181818181,0.0909090909090909,37.85285875433281,6.789392301787396,6.789392301787396,1.5,101.84088452681094,1432.8489158754699,0.07107580108303757
8,D,20,30,-32.362896753575534,37.20707070707071,37.23911262786869,37.84353091171808,37.67698371602103,36.97661703510517,37.11761969939478,0.2954545454545454,0.1772727272727272,0.1181818181818181,0.3181818181818181,0.0909090909090909,37.303441770137596,8.104928017454302,8.104928017454302,1.5,121.57392026181454,1391.5567678980462,0.08736540475129345
9,D,20,30,-32.362896753575534,36.80808080808081,36.84283221006431,37.26168939162696,37.51889670135583,36.669630374760125,36.835152734705744,0.2954545454545454,0.1772727272727272,0.1181818181818181,0.3181818181818181,0.0909090909090909,36.94117488677366,11.740410058861473,11.740410058861473,1.5,176.1061508829221,1364.660402015197,0.12904760087041858
10,D,20,30,-32.362896753575534,36.40909090909091,36.441689728999485,36.11238799091736,35.88988863794333,36.76949394585761,36.51558622157406,0.2954545454545454,0.1772727272727272,0.1181818181818181,0.3181818181818181,0.0909090909090909,36.42911986026719,8.794575187284513,8.794575187284513,1.5,131.9186278092677,1327.0907737937137,0.0994043741500485
11,D,20,30,-32.362896753575534,36.01010101010101,35.9823391189524,36.67417165426267,35.79903266794587,36.15283640388065,36.13867055160186,0.2954545454545454,0.1772727272727272,0.1181818181818181,0.3181818181818181,0.0909090909090909,36.151779754174655,11.02806859710336,11.02806859710336,1.5,165.4210289565504,1306.9611793943525,0.12656919850764559
12,D,20,30,-32.362896753575534,35.611111111111114,35.66832013840805,35.99026855211896,34.24682554623917,35.55558181443783,35.47841975844932,0.2954545454545454,0.1772727272727272,0.1181818181818181,0.3181818181818181,0.0909090909090909,35.504263040504604,10.081423293941164,10.081423293941164,1.5,151.22134940911747,1260.5626940493412,0.11996337042415943
13,D,20,30,-32.362896753575534,35.21212121212121,35.15713204613542,34.75266262014865,34.021714316504315,35.22209757046707,34.93177502623444,0.2954545454545454,0.1772727272727272,0.1181818181818181,0.3181818181818181,0.0909090909090909,34.95142876305042,8.39496484655605,8.39496484655605,1.5,125.92447269834075,1221.6123725785883,0.10308054790943093
14,D,20,30,-32.362896753575534,34.813131313131315,34.82370971612978,35.0610586058481,34.30975919013664,34.79322610231006,35.04569460165982,0.2954545454545454,0.1772727272727272,0.1181818181818181,0.3181818181818181,0.0909090909090909,34.8155267059771,7.94764134411211,7.94764134411211,1.5,119.21462016168165,1212.1308998146046,0.09835127557586026
15,D,20,30,-32.362896753575534,34.41414141414141,34.327083565015315,34.620319287538216,32.426645271459584,34.36988275590793,34.5662851953664,0.2954545454545454,0.1772727272727272,0.1181818181818181,0.3181818181818181,0.0909090909090909,34.18983253554007,5.282604092610256,5.282604092610256,1.5,79.23906138915385,1168.9546488082742,0.06778625797838819
16,D,20,30,-32.362896753575534,34.01515151515152,34.11413729344726,33.920380000711084,33.78923651338532,34.13819390815484,33.95157948788257,0.2954545454545454,0.1772727272727272,0.1181818181818181,0.3181818181818181,0.0909090909090909,34.03426843990141,14.866474689160109,14.866474689160109,1.5,222.99712033740164,1158.3414282392691,0.19251415420440177
17,D,20,30,-32.362896753575534,33.61616161616162,33.67228876034258,34.47111150683364,33.48589599186228,33.25436547936042,33.80675953383831,0.2954545454545454,0.1772727272727272,0.1181818181818181,0.3181818181818181,0.0909090909090909,33.67111903731452,11.879713673630024,11.879713673630024,1.5,178.19570510445035,1133.7542572250043,0.15717312986378998
18,D,20,30,-32.362896753575534,33.21717171717172,33.165581555009105,32.723980648471866,35.54686432310186,33.23047572870854,33.0259135727633,0.2954545454545454,0.1772727272727272,0.1181818181818181,0.3181818181818181,0.0909090909090909,33.37667314196138,14.220151435067065,14.220151435067065,1.5,213.30227152600597,1114.0123100253263,0.1914720956011309
19,D,20,30,-32.362896753575534,32.81818181818182,32.8174382360323,32.37301472381657,32.327868960874184,33.112804403043235,32.66707669130411,0.2954545454545454,0.1772727272727272,0.1181818181818181,0.3181818181818181,0.0909090909090909,32.76110679360355,13.04855385418196,13.04855385418196,1.5,195.7283078127294,1073.300118341897,0.18236120957025803
20,D,20,30,-32.362896753575534,32.41919191919192,32.54174820889619,33.28794966937411,31.407000995232,32.56521583314329,32.4283563994084,0.2954545454545454,0.1772727272727272,0.1181818181818181,0.3181818181818181,0.0909090909090909,32.53708151303668,10.23536009391507,10.23536009391507,1.5,153.53040140872605,1058.6716733859935,0.14502173361990825
21,D,20,30,-32.362896753575534,32.02020202020202,32.13232058926831,32.27447533703681,30.869764464669416,32.074902178505184,31.96135677916845,0.2954545454545454,0.1772727272727272,0.1181818181818181,0.3181818181818181,0.0909090909090909,31.974497911850047,7.242528062850573,7.242528062850573,1.5,108.6379209427586,1022.3785167149031,0.1062599801997336
22,D,20,30,-32.362896753575534,31.62121212121212,31.56411593520502,31.3514101023944,29.24137754637016,31.7361017283598,31.58225930504128,0.2954545454545454,0.1772727272727272,0.1181818181818181,0.3181818181818181,0.0909090909090909,31.308275695787916,9.71681369658547,9.71681369658547,1.5,145.75220544878206,980.2181270434643,0.14869364422835163
23,D,20,30,-32.362896753575534,31.22222222222222,31.214555498632706,31.303257384149365,33.20672052892802,31.34343581770117,31.219179205683336,0.2954545454545454,0.1772727272727272,0.1181818181818181,0.3181818181818181,0.0909090909090909,31.507145320444664,6.923827354152911,6.923827354152911,1.5,103.85741031229367,992.7102062436181,0.10462006903836175
24,D,20,30,-32.362896753575534,30.823232323232325,30.581508372960013,30.45022712133627,29.23735795193452,30.860170417589543,30.54061333527034,0.2954545454545454,0.1772727272727272,0.1181818181818181,0.3181818181818181,0.0909090909090909,30.48432911209766,10.114461931441731,10.114461931441731,1.5,151.71692897162598,929.304321414685,0.16325860697673986
