tick,precipitation,fog,sun_altitude,scenario_type,v_approach,dist_gt,dist_lidar,dist_stereo,dist_camera,dist_ai,dist_hsi
1,20,100,28.199466153600383,E,-2.0,5.0,5.022214702684883,7.223656613893011,7.774834270145397,4.752750636338331,5.044579389333416
2,20,100,28.199466153600383,E,-2.080808080808081,5.252525252525253,4.969667887183455,5.92666493062039,2.372839590779505,5.51880274251052,5.373370803464114
3,20,100,28.199466153600383,E,-2.1616161616161618,5.505050505050505,5.870207070263435,7.780952482963724,3.997997970034605,5.815495659962158,5.544123277732712
4,20,100,28.199466153600383,E,-2.242424242424242,5.757575757575758,5.87691834245743,5.551050808896859,2.777274264719507,4.579389919338764,5.801731075355824
5,20,100,28.199466153600383,E,-2.323232323232323,6.01010101010101,5.964395141896205,6.390234181844102,6.033799481107577,6.015477653145952,5.768084684159432
6,20,100,28.199466153600383,E,-2.404040404040404,6.262626262626263,5.9459324788365056,6.126144588551638,3.0228457669685023,6.577761432241418,6.358796929131719
7,20,100,28.199466153600383,E,-2.484848484848485,6.515151515151516,6.554325932185936,6.9105528913693375,4.009998121862273,7.339738740191224,6.598379042806277
8,20,100,28.199466153600383,E,-2.5656565656565657,6.767676767676768,7.113508990645295,7.959526853359087,3.9680458031652863,6.85887963832769,6.775807539454585
9,20,100,28.199466153600383,E,-2.646464646464646,7.020202020202021,7.055596637497096,9.2254136606813,9.435683168149732,7.01265567336828,7.109377096692774
10,20,100,28.199466153600383,E,-2.7272727272727275,7.272727272727273,7.120885538797787,7.992951308621349,8.907099352126158,7.166884867431001,7.060707311310788
11,20,100,28.199466153600383,E,-2.808080808080808,7.525252525252526,7.594543291717783,5.332997065017114,8.146433318110693,7.499211428402428,7.67322514256466
12,20,100,28.199466153600383,E,-2.888888888888889,7.777777777777779,8.121939103648877,8.349321110003531,6.932333432037083,8.712506604969585,7.84614442160842
13,20,100,28.199466153600383,E,-2.9696969696969697,8.030303030303031,8.19408198060056,8.245682058739797,6.395803734006195,7.427690456221586,7.958121223423496
14,20,100,28.199466153600383,E,-3.0505050505050506,8.282828282828284,8.493618041423288,7.796548976352598,7.594029102590476,8.192444175842555,8.289858422788825
15,20,100,28.199466153600383,E,-3.1313131313131315,8.535353535353536,8.633538386951827,8.065892298148565,7.340518818216959,8.362095243829515,8.787027149187587
16,20,100,28.199466153600383,E,-3.212121212121212,8.787878787878789,8.786771478297378,7.308232170937151,5.539582036425074,9.368322763544098,8.851805978896074
17,20,100,28.199466153600383,E,-3.2929292929292933,9.040404040404042,9.084085760586376,9.682783205805109,12.878060869731666,9.14589245500937,9.507798905445984
18,20,100,28.199466153600383,E,-3.3737373737373737,9.292929292929294,9.078695264765503,9.030931604035043,9.466246090396831,8.59973577829579,9.269611079272714
19,20,100,28.199466153600383,E,-3.4545454545454546,9.545454545454549,9.79663177323216,7.5825135386601215,10.98173066051466,9.408255918286642,9.540115136756341
20,20,100,28.199466153600383,E,-3.5353535353535355,9.7979797979798,9.676406275023506,9.622464103304036,9.362104580670684,9.536587153788291,9.782237154684749
21,20,100,28.199466153600383,E,-3.616161616161616,10.050505050505052,10.272017964585588,9.621211922307438,9.235293389273425,9.815003663456974,10.000235260379137
22,20,100,28.199466153600383,E,-3.696969696969697,10.303030303030305,10.392816474472076,9.04582967320114,12.907892760885405,10.044578137732692,10.322225050174623
23,20,100,28.199466153600383,E,-3.7777777777777777,10.555555555555555,10.24147614696146,12.616321327844153,1.8202664339755064,11.09209119323429,10.659144158274174
24,20,100,28.199466153600383,E,-3.858585858585859,10.80808080808081,10.587716056680556,9.223513605420084,9.08383371399412,10.94688096891895,10.84881612550728
25,20,100,28.199466153600383,E,-3.939393939393939,11.06060606060606,11.22245835085562,9.59568541583253,6.666718875120125,11.173932695728094,10.989197034830413
26,20,100,28.199466153600383,E,-4.020202020202021,11.313131313131311,11.462601062081976,12.486919669109144,13.918560967125153,11.294282311031068,11.475171575534318
27,20,100,28.199466153600383,E,-4.101010101010101,11.565656565656566,11.407838456284296,11.188882820374491,5.568702723131612,12.429066957611662,11.811015141055039
28,20,100,28.199466153600383,E,-4.181818181818182,11.818181818181818,11.716616111676045,12.945741507849249,18.54591483863917,12.09813863533998,11.571210494719955
29,20,100,28.199466153600383,E,-4.262626262626263,12.070707070707073,11.999330429698826,14.77592064858612,19.71201086624041,12.30228428503261,12.068051472137318
30,20,100,28.199466153600383,E,-4.343434343434343,12.323232323232324,12.268878396719956,13.808639779933335,15.150437814785136,12.8366686530526,12.181632166477236
31,20,100,28.199466153600383,E,-4.424242424242424,12.575757575757576,12.403391764366344,12.271956211235883,11.640173716675278,13.095230287610562,12.686301386703775
32,20,100,28.199466153600383,E,-4.505050505050505,12.828282828282829,12.808331218132444,13.953468898831524,9.41237489062338,11.787420780023384,12.936861645477954
33,20,100,28.199466153600383,E,-4.5858585858585865,13.08080808080808,13.277873235951692,13.244395887542062,11.188133019241024,12.783127851510551,13.163140438334947
34,20,100,28.199466153600383,E,-4.666666666666667,13.333333333333334,13.120141076919325,13.96953000853179,10.08266058752056,12.351434516165272,13.416066040473751
35,20,100,28.199466153600383,E,-4.747474747474747,13.585858585858588,13.556000409904712,13.479850561222015,13.3171065878532,13.078773698896203,13.51243366911227
36,20,100,28.199466153600383,E,-4.828282828282829,13.83838383838384,13.77513937268048,10.997071702999722,15.524755024107236,14.095384495659095,13.855656696822189
37,20,100,28.199466153600383,E,-4.909090909090909,14.090909090909092,14.20191073777252,15.61824498449322,11.091955401470411,14.18912172409361,14.305619556022043
38,20,100,28.199466153600383,E,-4.98989898989899,14.343434343434344,13.943284209340517,15.961019771326566,14.21669615814512,13.87361976870064,14.549347434524103
39,20,100,28.199466153600383,E,-5.070707070707071,14.595959595959595,14.555041565699897,15.199900389534337,15.993385203386596,14.642727241411087,14.852071143087077
40,20,100,28.199466153600383,E,-5.151515151515152,14.84848484848485,15.199369981651,13.731960941350376,13.674829139775706,14.098370108865682,14.905526407267438
41,20,100,28.199466153600383,E,-5.232323232323233,15.101010101010102,15.057667529833832,13.233925221606448,19.328953603463965,15.276643534632008,15.023533555760144
42,20,100,28.199466153600383,E,-5.313131313131313,15.353535353535356,15.113948996667828,16.630243700250954,13.20448839738085,15.072475060383688,15.387924680427371
43,20,100,28.199466153600383,E,-5.3939393939393945,15.606060606060607,15.959741286531496,15.1737367595814,12.491872880889126,16.37633904643569,15.490453161473102
44,20,100,28.199466153600383,E,-5.474747474747475,15.85858585858586,15.936695880814518,13.959056749701402,20.32860890331168,15.26855292421983,15.894247473420117
45,20,100,28.199466153600383,E,-5.555555555555555,16.111111111111114,15.869796828784624,14.504365977059024,16.840180091673908,16.465179532669367,16.307543149388266
46,20,100,28.199466153600383,E,-5.636363636363637,16.363636363636367,16.378711680958414,17.84018614009312,16.48346726372693,16.365329796408183,16.302366672866782
47,20,100,28.199466153600383,E,-5.717171717171718,16.61616161616162,16.646154741296503,17.6887931535085,15.283460949952635,16.54019089186257,16.598861552979955
48,20,100,28.199466153600383,E,-5.797979797979799,16.868686868686872,16.62429227907941,15.290438687675785,13.980066460085045,16.447253697886996,16.680696708610256
49,20,100,28.199466153600383,E,-5.878787878787879,17.12121212121212,17.116878120866136,17.983202436226073,16.321721758569154,17.344446450817838,17.178762738910077
50,20,100,28.199466153600383,E,-5.95959595959596,17.373737373737374,17.307117231072823,17.70504493986847,14.2543944138962,17.788068962020116,17.337866834987974
51,20,100,28.199466153600383,E,-6.040404040404041,17.626262626262626,17.807209979340964,17.926761514281573,17.205414401795238,17.758369939437006,17.82725348109088
52,20,100,28.199466153600383,E,-6.121212121212122,17.87878787878788,18.244830592634276,18.38774620781624,18.050924378679543,17.36405120925124,17.972637186725883
53,20,100,28.199466153600383,E,-6.202020202020202,18.13131313131313,18.034324828734228,16.82240030463103,18.52488975442992,18.43459338876438,18.406718574030002
54,20,100,28.199466153600383,E,-6.282828282828283,18.383838383838384,18.38238663457331,18.10680675879411,20.22246361546796,18.631657061519757,18.31225496466796
55,20,100,28.199466153600383,E,-6.363636363636364,18.63636363636364,18.84417113772917,18.099029713219263,18.891487458750536,18.05794659427094,18.761679044387392
