tick,precipitation,fog,sun_altitude,scenario_type,v_approach,dist_gt,dist_lidar,dist_stereo,dist_camera,dist_ai
1,100,70,3.0496348711052548,A,8.170234300154888,40.0,40.143209110069265,39.6125912769268,43.68526903727712,39.87993665291287
2,100,70,3.0496348711052548,A,12.440293591142634,39.601010101010104,40.257674671289,37.36314439724727,31.03393149661069,40.66463533074522
3,100,70,3.0496348711052548,A,10.237554319321553,39.2020202020202,39.435717774871684,39.89132693242116,36.65020084864981,39.40960206778202
4,100,70,3.0496348711052548,A,13.966181755093858,38.803030303030305,39.174332840773964,37.9750904279825,32.69616422097959,37.67254368058844
5,100,70,3.0496348711052548,A,6.928353777349766,38.4040404040404,38.60375309147726,41.392503912183614,40.9669242258372,38.202132161152264
6,100,70,3.0496348711052548,A,13.647769482259495,38.005050505050505,37.844261348551875,36.38899143057092,36.29594020536803,36.48992197521874
7,100,70,3.0496348711052548,A,9.703191711575432,37.60606060606061,37.881481119069285,37.704957109132195,42.22774238247542,36.808355979435596
8,100,70,3.0496348711052548,A,14.281494709356517,37.207070707070706,37.517037647257084,38.2052081866155,42.96400493298434,37.37276369557788
9,100,70,3.0496348711052548,A,7.298873813282263,36.80808080808081,37.3325357721883,35.090676020123794,38.8802693508025,36.23991544541023
10,100,70,3.0496348711052548,A,5.770637679376075,36.40909090909091,35.81749379574297,38.41325299011516,37.712799579616025,36.09961217115432
11,100,70,3.0496348711052548,A,13.145771165121522,36.01010101010101,35.49027974243549,38.730993858577335,31.534950303452277,35.23838364735703
12,100,70,3.0496348711052548,A,12.74875018460949,35.611111111111114,35.599621393041296,37.46291727508065,35.75130863659473,35.68349962486997
13,100,70,3.0496348711052548,A,8.677516327648602,35.21212121212121,35.828926742462066,34.247715317996224,35.29505597969094,35.5836220403932
14,100,70,3.0496348711052548,A,12.689260448441388,34.813131313131315,35.22654544988717,33.99101817543073,39.97033768738489,35.19157364656809
15,100,70,3.0496348711052548,A,14.557481058972341,34.41414141414141,33.60305639025717,35.94308988003626,38.57110262699608,34.31639691481237
16,100,70,3.0496348711052548,A,8.322338501775654,34.015151515151516,34.65563697644186,33.06390252174929,33.13148583164111,34.76627429710778
17,100,70,3.0496348711052548,A,5.501970319329272,33.61616161616162,33.54475488310552,33.521285010982204,39.78425922930157,32.887624079149965
18,100,70,3.0496348711052548,A,13.331012213127707,33.217171717171716,32.73672739416923,32.636632755989076,27.210325676785185,34.20387798495184
19,100,70,3.0496348711052548,A,11.943679480509266,32.81818181818182,32.53152293122756,32.442523900335345,31.1113688191288,33.40878262763604
20,100,70,3.0496348711052548,A,14.358578578195925,32.41919191919192,32.23399545563848,33.65364011566126,34.381026712623935,33.85934312131971
21,100,70,3.0496348711052548,A,14.929267129262865,32.02020202020202,32.25332409907902,31.690561533374556,31.565973618305208,32.74727450929977
22,100,70,3.0496348711052548,A,11.990323390806186,31.62121212121212,31.847368104193063,27.952657559405104,22.165219468171045,31.578001976525403
23,100,70,3.0496348711052548,A,8.52002046363732,31.22222222222222,31.15610380070377,31.24039235142919,39.43610619272211,32.17107090142748
24,100,70,3.0496348711052548,A,9.729988096638355,30.823232323232325,30.846080906886865,31.9697811982727,33.091531972176554,31.095072171987482
25,100,70,3.0496348711052548,A,12.58495535164279,30.424242424242422,30.825555504812446,31.206034427852448,33.25336880460261,30.609505252590868
26,100,70,3.0496348711052548,A,6.74114026310626,30.025252525252526,29.875705648785868,29.47329597740265,33.523352057042544,31.34405084635394
27,100,70,3.0496348711052548,A,10.598991819482347,29.626262626262626,30.232222292780417,31.339332811017467,28.185717223281817,30.024619683702003
28,100,70,3.0496348711052548,A,5.863936065791186,29.227272727272727,29.316057436872313,28.12344944302657,30.5536736107212,28.266275034257696
29,100,70,3.0496348711052548,A,12.778062399557399,28.828282828282827,28.544188068568335,27.930523114077438,25.014737361077508,28.846602564405828
30,100,70,3.0496348711052548,A,14.300901136688903,28.429292929292927,28.328939055836322,27.223503362376874,25.322889109312428,27.48650758770381
31,100,70,3.0496348711052548,A,9.242808199553334,28.03030303030303,27.64954206630426,25.885959413505354,25.314502017720915,28.168430557297093
32,100,70,3.0496348711052548,A,9.558907759208315,27.63131313131313,27.558615819488015,30.37926365379853,24.36921810909123,29.797127330277757
33,100,70,3.0496348711052548,A,9.41241839368606,27.232323232323232,26.720796407778195,26.0085983320368,27.79573669059784,26.939380192027023
34,100,70,3.0496348711052548,A,13.779958803618902,26.833333333333332,26.85148659740066,26.26430342381605,24.346519303053526,27.382173185665426
35,100,70,3.0496348711052548,A,8.055108963447147,26.434343434343432,26.924500008521385,25.534891063526878,24.371497551777235,26.33076273975987
36,100,70,3.0496348711052548,A,14.06899227757512,26.035353535353536,25.747856919496982,25.71972833561483,27.928516341609125,25.625555549595887
37,100,70,3.0496348711052548,A,5.894806314191381,25.636363636363637,25.330454730821966,27.339644240517696,30.23449440171536,26.23389221749077
38,100,70,3.0496348711052548,A,9.833219380991185,25.237373737373737,25.473307764250592,26.8396145490817,24.28846237400333,23.863970270202948
39,100,70,3.0496348711052548,A,11.887114932758562,24.838383838383837,24.714966541639452,21.329614910347505,16.754014986511283,25.60700606502599
40,100,70,3.0496348711052548,A,7.736345638203206,24.439393939393938,24.26372307357712,23.9829477698336,26.16699703580751,23.231159804681035
41,100,70,3.0496348711052548,A,8.484466737275158,24.04040404040404,23.478065692152445,23.008258151700808,24.952067951626997,23.544026688730142
42,100,70,3.0496348711052548,A,8.470184315124811,23.641414141414142,23.066411109171558,21.972843592937082,21.21381616187708,23.28820968289348
43,100,70,3.0496348711052548,A,6.924066523770101,23.242424242424242,23.015171813756215,21.483778653626622,22.71591600497199,23.654805241973744
44,100,70,3.0496348711052548,A,11.237656193149864,22.843434343434343,22.697427268835533,23.441093064731888,22.20066310027168,22.864389637843413
45,100,70,3.0496348711052548,A,7.445622759414221,22.444444444444443,21.715079100117592,20.626548950491205,21.040188377207567,22.1864967847986
46,100,70,3.0496348711052548,A,7.005027352981077,22.045454545454543,22.375139032816218,24.848595563061863,23.09828255762751,22.13691648598608
47,100,70,3.0496348711052548,A,13.19886765435448,21.646464646464647,21.766878618127617,23.263567032587286,22.085208345382423,21.666657250624546
48,100,70,3.0496348711052548,A,5.24434574510399,21.247474747474747,21.231745699346103,22.00539167287704,24.51328436392034,21.43421067827374
49,100,70,3.0496348711052548,A,8.5343485291803,20.848484848484848,20.69343084477315,23.879613988092295,22.134195081755177,21.670155870439018
50,100,70,3.0496348711052548,A,7.36559277860761,20.449494949494948,20.710534561157328,21.07558595898446,29.291329751398465,22.206496369411134
51,100,70,3.0496348711052548,A,14.118486015584462,20.05050505050505,20.254564243095228,22.967402984991413,20.24242241837981,20.01091952369837
52,100,70,3.0496348711052548,A,8.968964436353037,19.651515151515152,19.816237245255103,18.50787277455305,18.263051889677886,20.629689097164444
53,100,70,3.0496348711052548,A,12.63959412266471,19.252525252525253,18.852034090764512,16.743875640394066,17.82039601608135,19.461841997819906
54,100,70,3.0496348711052548,A,8.612991387304508,18.853535353535353,18.489252923343248,18.814965052401156,19.616293855990843,18.71605746528412
55,100,70,3.0496348711052548,A,12.937226959984597,18.454545454545453,18.666580126939213,18.17723111752108,22.68538292025675,19.176335098151892
56,100,70,3.0496348711052548,A,5.952155126379405,18.055555555555554,18.072599386823907,18.33735726154152,14.908321597517332,18.03395869491277
57,100,70,3.0496348711052548,A,11.042784628700712,17.656565656565654,18.23441313407971,16.80926482823755,13.565808601221644,16.068759853787267
58,100,70,3.0496348711052548,A,5.6687296292843,17.257575757575758,17.214863441872264,17.11889406043546,18.79961333460565,17.74921655304062
59,100,70,3.0496348711052548,A,11.988399057458368,16.858585858585858,16.99682294261324,17.966836160685514,20.04645252530694,15.74919657597619
60,100,70,3.0496348711052548,A,13.971886327662407,16.45959595959596,16.497512919236947,19.10491346236264,16.46300410356607,16.765590527803102
61,100,70,3.0496348711052548,A,14.534309888326854,16.06060606060606,16.336590235295084,15.180418605968804,12.260297945831654,16.429157367084255
62,100,70,3.0496348711052548,A,6.603307634248326,15.661616161616159,15.205684457640752,17.040779334111264,22.336598717742792,15.684364110380692
63,100,70,3.0496348711052548,A,6.132867361800725,15.262626262626263,15.408555036875434,13.355417408890615,15.664184375456,14.806245037933577
64,100,70,3.0496348711052548,A,5.803750716802201,14.863636363636363,14.001203828833212,15.79257344006837,18.930808451475286,14.103006417191763
65,100,70,3.0496348711052548,A,7.4011300135552585,14.464646464646464,14.562505229476109,16.550251482280366,10.91805207560742,14.043727145687772
66,100,70,3.0496348711052548,A,8.422867033140557,14.065656565656564,13.311336460455975,15.774198987791499,15.45976733076124,15.340937808608775
67,100,70,3.0496348711052548,A,11.150925854720104,13.666666666666664,13.599203612499984,14.451193875425064,8.234509318040242,13.622210212762596
68,100,70,3.0496348711052548,A,5.1544392109959825,13.267676767676768,13.041576010693435,17.40081886088219,12.22983804762411,13.60632101507646
69,100,70,3.0496348711052548,A,10.344890218879446,12.868686868686869,13.379025696306213,10.383488435830873,12.346663266462981,12.823675436108523
70,100,70,3.0496348711052548,A,5.138326998939129,12.469696969696969,12.918352169818418,12.371164745200678,9.90839277850775,12.32922750863409
71,100,70,3.0496348711052548,A,7.327969828412567,12.07070707070707,12.746622910316155,11.618043381336955,9.93150714329965,11.975316265221574
72,100,70,3.0496348711052548,A,12.204938681117756,11.67171717171717,11.619409822981455,11.633430113125343,7.940931341483244,10.848566544112332
73,100,70,3.0496348711052548,A,7.8835518337176556,11.272727272727273,11.285748947241135,13.089802354000488,11.988507663498055,11.721192484655298
74,100,70,3.0496348711052548,A,11.57896540631425,10.873737373737374,11.382782288510096,9.336919499314536,16.660891767326724,11.046824331463728
75,100,70,3.0496348711052548,A,7.30655258779512,10.474747474747474,10.394746605660359,13.752518163494795,17.888400568578227,10.792256539314256
76,100,70,3.0496348711052548,A,11.577428464537721,10.075757575757574,10.234469468545434,11.859639849667031,6.4015177961991965,9.891761031919078
77,100,70,3.0496348711052548,A,8.527497416623024,9.676767676767675,9.185195136783804,7.018536857054372,11.376087340746519,10.419233525954414
78,100,70,3.0496348711052548,A,7.8748648832166745,9.277777777777775,9.362634957037436,9.571374670227453,7.006547803419496,10.051675168765447
79,100,70,3.0496348711052548,A,10.132726795561531,8.878787878787879,9.15544766183283,7.184778411543032,5.792548523714405,8.017635649203985
80,100,70,3.0496348711052548,A,8.78176057543249,8.47979797979798,8.36399251567071,9.617750734256063,7.467282012696286,8.944822667946903
81,100,70,3.0496348711052548,A,7.933691654323937,8.08080808080808,8.118448819724582,5.386828108371519,11.83098225457883,6.623663112960074
82,100,70,3.0496348711052548,A,11.412648316552833,7.68181818181818,7.969561854235257,8.692843018757866,8.901226878048906,8.738508036756587
83,100,70,3.0496348711052548,A,13.539576662691307,7.282828282828284,6.495756023025214,7.473189923784362,3.6959441926928673,7.50767395575462
84,100,70,3.0496348711052548,A,10.11973401460594,6.8838383838383805,7.1945715150655065,5.0949582898789885,4.890447697152417,6.200625091305563
85,100,70,3.0496348711052548,A,9.997299840798194,6.484848484848484,6.484624274519604,4.680401169940536,3.3414434827301407,5.3845634730179315
86,100,70,3.0496348711052548,A,7.51817578628193,6.085858585858581,6.212364306928932,6.079159873704789,10.401826465397534,6.78855997283408
87,100,70,3.0496348711052548,A,6.31774864849223,5.686868686868685,6.3453386013372155,5.109223283222016,1.1458968161414278,5.660246973765037
88,100,70,3.0496348711052548,A,5.6070984818266645,5.287878787878789,5.066760097033318,2.3636284496825772,12.524272868440157,5.521296663825435
89,100,70,3.0496348711052548,A,14.54454042664907,4.888888888888886,4.7614970662084035,2.838877439544647,7.10973251277473,6.870245431979212
90,100,70,3.0496348711052548,A,12.653052404647319,4.48989898989899,4.9249878081955485,2.9180392228585426,-2.2350598945076916,4.266125234802822
91,100,70,3.0496348711052548,A,8.802989047080935,4.090909090909086,3.724665018798639,4.8578174312697575,1.8314958166215431,5.605614906523738
92,100,70,3.0496348711052548,A,11.390446789097906,3.6919191919191903,3.8373559799329886,4.548657782544023,5.457437295238995,4.172703751629549
93,100,70,3.0496348711052548,A,13.275717385841045,3.292929292929294,2.8297654227622995,2.207703403361041,8.807601353702678,3.627353682150657
94,100,70,3.0496348711052548,A,7.584459219990557,2.893939393939391,3.5068305989615967,4.906723498829335,-3.562199675414109,2.8133759181721865
95,100,70,3.0496348711052548,A,8.733531334737606,2.494949494949495,2.230222622638326,4.314130846617932,8.692037062167929,3.4364623016927016
96,100,70,3.0496348711052548,A,8.876382769851514,2.0959595959595916,2.4065107820182945,2.557554326436775,7.212705925001298,1.9841895374490601
97,100,70,3.0496348711052548,A,8.116219006243757,1.6969696969696955,1.9126274774791996,1.911841832034334,-0.18184929476032008,0.9246528604376728
98,100,70,3.0496348711052548,A,9.008666714005798,1.2979797979797993,0.7523196795349062,0.8876300068368355,6.214362026323125,1.1922044145319062
99,100,70,3.0496348711052548,A,12.394322770444667,0.8989898989898961,1.2750844058530726,0.5708802412123123,-0.44792734134203593,0.5797985354143396
100,100,70,3.0496348711052548,A,10.767134785167976,0.5,0.7897768187809924,0.04590000476182221,4.600071368889263,0.6998446779635148
